Generated on: 2024-12-24 15:57:57
Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/1,CC-R5-00,-4.0
TenGigabitEthernet1/1/2,CC-R5-00,-6.6
TenGigabitEthernet1/1/1,CC-R6-00,-5.0
TenGigabitEthernet1/1/2,CC-R6-00,-3.4
TenGigabitEthernet1/1/1,CC-R7-00,-2.8
TenGigabitEthernet1/1/2,CC-R7-00,-3.5
TenGigabitEthernet1/1/1,CHY-00-ACC,-3.7
TenGigabitEthernet3/1/1,CHY-00-ACC,-7.1
TenGigabitEthernet1/1/4,CHY-01-ACC,-3.1
TenGigabitEthernet4/1/4,CHY-01-ACC,-3.1
TenGigabitEthernet1/1/1,CHY-02-ACC,-2.9
TenGigabitEthernet3/1/1,CHY-02-ACC,-2.2
TenGigabitEthernet1/1/1,CHY-03-ACC,-3.2
TenGigabitEthernet3/1/1,CHY-03-ACC,-4.0
TenGigabitEthernet1/1/1,CHY-04-ACC,-3.1
TenGigabitEthernet3/1/1,CHY-04-ACC,-3.3
TenGigabitEthernet1/1/1,CHY-05-ACC,-2.8
TenGigabitEthernet4/1/1,CHY-05-ACC,-3.9
Te1/0/1,CHY-Dist-SW,-2.9
Te1/0/2,CHY-Dist-SW,-3.9
Te1/0/3,CHY-Dist-SW,-3.9
Te1/0/4,CHY-Dist-SW,-2.6
Te1/0/5,CHY-Dist-SW,-3.6
Te1/0/6,CHY-Dist-SW,-3.9
Te1/0/15,CHY-Dist-SW,-3.1
Te1/0/16,CHY-Dist-SW,-40.0
Te2/0/1,CHY-Dist-SW,-2.5
Te2/0/2,CHY-Dist-SW,-3.7
Te2/0/3,CHY-Dist-SW,-3.2
Te2/0/4,CHY-Dist-SW,-3.1
Te2/0/5,CHY-Dist-SW,-3.1
Te2/0/6,CHY-Dist-SW,-3.9
Te2/0/15,CHY-Dist-SW,-10.2
Te2/0/16,CHY-Dist-SW,-3.3
TenGigabitEthernet1/1/1,CoreLab-1F,-3.9
TenGigabitEthernet2/1/1,CoreLab-1F,-40.0
TenGigabitEthernet1/1/1,CoreLab-2F,-3.2
TenGigabitEthernet1/1/2,CoreLab-2F,-40.0
TenGigabitEthernet1/1/1,CoreLab-GF,-2.7
TenGigabitEthernet3/1/1,CoreLab-GF,-4.3
Te1/0/1,Corelab-Dist-SW,-2.7
Te1/0/2,Corelab-Dist-SW,-40.0
Te1/0/3,Corelab-Dist-SW,-40.0
Te1/0/13,Corelab-Dist-SW,-6.1
Te1/0/14,Corelab-Dist-SW,-5.7
Te1/0/15,Corelab-Dist-SW,-3.1
Te1/0/16,Corelab-Dist-SW,-40.0
Te2/0/1,Corelab-Dist-SW,-2.1
Te2/0/2,Corelab-Dist-SW,-4.7
Te2/0/3,Corelab-Dist-SW,-3.0
Te2/0/13,Corelab-Dist-SW,-3.6
Te2/0/14,Corelab-Dist-SW,-2.6
Te2/0/15,Corelab-Dist-SW,-2.0
Te2/0/16,Corelab-Dist-SW,-6.3
Te1/0/1,DH-Dist-SW,-7.3
Te1/0/2,DH-Dist-SW,-40.0
Te1/0/3,DH-Dist-SW,-2.2
Te1/0/4,DH-Dist-SW,-35.2
Te1/0/6,DH-Dist-SW,-40.0
Te1/0/13,DH-Dist-SW,-2.7
Te1/0/14,DH-Dist-SW,-2.4
Te1/0/15,DH-Dist-SW,-3.9
Te2/0/2,DH-Dist-SW,-40.0
Te2/0/3,DH-Dist-SW,-2.2
Te2/0/7,DH-Dist-SW,-40.0
Te2/0/11,DH-Dist-SW,-40.0
Te2/0/12,DH-Dist-SW,-40.0
Te2/0/13,DH-Dist-SW,-13.7
Te2/0/14,DH-Dist-SW,-1.7
Te2/0/15,DH-Dist-SW,-2.9
Te2/0/16,DH-Dist-SW,-2.2
Te1/0/1,DoD-Dist-SW,-1.2
Te1/0/2,DoD-Dist-SW,-9.2
Te1/0/3,DoD-Dist-SW,-2.8
Te1/0/4,DoD-Dist-SW,-3.5
Te1/0/5,DoD-Dist-SW,-9.3
Te1/0/6,DoD-Dist-SW,-1.7
Te1/0/7,DoD-Dist-SW,-4.4
Te1/0/8,DoD-Dist-SW,-3.2
Te1/0/13,DoD-Dist-SW,-0.7
Te1/0/14,DoD-Dist-SW,-3.5
Te1/0/15,DoD-Dist-SW,-1.3
Te1/0/16,DoD-Dist-SW,-5.3
Te2/0/1,DoD-Dist-SW,-2.5
Te2/0/2,DoD-Dist-SW,-3.5
Te2/0/3,DoD-Dist-SW,-4.7
Te2/0/4,DoD-Dist-SW,N/A
Te2/0/5,DoD-Dist-SW,-1.4
Te2/0/7,DoD-Dist-SW,-1.7
Te2/0/8,DoD-Dist-SW,-11.1
Te2/0/13,DoD-Dist-SW,-2.0
Te2/0/14,DoD-Dist-SW,-1.6
Te2/0/15,DoD-Dist-SW,-2.7
Te2/0/16,DoD-Dist-SW,-40.0
TenGigabitEthernet1/1/1,DoD-Z1-GF,-1.2
TenGigabitEthernet5/1/1,DoD-Z1-GF,-7.8
TenGigabitEthernet1/1/1,DoD-Z2-GF,-3.1
TenGigabitEthernet1/1/2,DoD-Z2-GF,-1.5
TenGigabitEthernet1/1/1,DoD-Z3-GF,-10.2
TenGigabitEthernet3/1/1,DoD-Z3-GF,-3.8
TenGigabitEthernet1/1/1,DoD-Z5-1F,-12.2
TenGigabitEthernet3/1/1,DoD-Z5-1F,-40.0
TenGigabitEthernet1/1/1,DoD-Z6-2F,-2.6
TenGigabitEthernet3/1/1,DoD-Z6-2F,-3.3
TenGigabitEthernet1/1/1,DoD-Z7-1F,-7.2
TenGigabitEthernet1/1/2,DoD-Z7-1F,-0.4
TenGigabitEthernet1/1/1,DoD-Z8-2F,-2.2
TenGigabitEthernet3/1/1,DoD-Z8-2F,-4.3
TenGigabitEthernet1/1/1,DoD-Z9-3F,-4.3
TenGigabitEthernet2/1/1,DoD-Z9-3F,-40.0
TenGigabitEthernet1/1/1,Hospital-1F,-11.3
TenGigabitEthernet1/1/1,IGH- R1-1F,-4.6
TenGigabitEthernet2/1/1,IGH- R1-1F,-3.7
TenGigabitEthernet1/1/1,IGH- R1-2F,-4.9
TenGigabitEthernet2/1/1,IGH- R1-2F,-40.0
TenGigabitEthernet2/1/1,IGH- R1-3F,-9.6
TenGigabitEthernet1/1/1,IGH- R1-4F,-17.3
TenGigabitEthernet1/1/2,IGH- R1-4F,-40.0
TenGigabitEthernet1/1/1,IGH- R1-5F,-3.3
