PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
Non PoE,FOC2650YM52,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,MSH-North-SW,MSH-North-SW,Switch 1
PoE,FOC2630Y21Z,C9300L-24P-4X,2023-APR-12,2026-APR-12,Cisco,MSH-North-SW,MSH-North-SW,Switch 2
Non PoE,FOC2650YLU5,C9300L-48T-4X,2023-APR-12,2026-APR-12,Cisco,MSH-South-SW,MSH-South-SW,Switch 1
Non PoE,FOC2626YHLH,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-1F-SW,MSME-1F-SW,Switch 1
PoE,FOC2630Y38C,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-1F-SW,MSME-1F-SW,Switch 2
PoE,FOC2630Y1TY,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-2F-SW,MSME-2F-SW,Switch 1
Non PoE,FOC2626YHQ2,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-2F-SW,MSME-2F-SW,Switch 2
Non PoE,FOC2626YD4L,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-2F-SW,MSME-2F-SW,Switch 3
PoE,FOC2630Y2KK,C9300L-24P-4X,2022-AUG-26,2025-AUG-26,Cisco,MSME-3F-SW,MSME-3F-SW,Switch 1
Non PoE,FOC2626YECZ,C9300L-48T-4X,2022-AUG-26,2025-AUG-26,Cisco,MSME-3F-SW,MSME-3F-SW,Switch 2
Non PoE,FOC2626YGH5,C9300L-48T-4X,2022-AUG-26,2025-AUG-26,Cisco,MSME-3F-SW,MSME-3F-SW,Switch 3
PoE,FOC2630Y2GK,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-4F-SW,MSME-4F-SW,Switch 1
Non PoE,FOC2626YHYL,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-4F-SW,MSME-4F-SW,Switch 2
Non PoE,FOC2626YHN7,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,MSME-4F-SW,MSME-4F-SW,Switch 3
Non PoE,FOC2631YAVP,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,MSME-Dist-SW,MSME-Dist-SW,Switch 1
Non PoE,FOC2631Y8RM,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,MSME-Dist-SW,MSME-Dist-SW,Switch 2
Non PoE,FOC2626YJPK,C9300L-48T-4X,2022-AUG-26,2025-AUG-26,Cisco,MSME-GF-SW,MSME-GF-SW,Switch 1
PoE,FOC2630Y24M,C9300L-24P-4X,2022-AUG-26,2025-AUG-26,Cisco,MSME-GF-SW,MSME-GF-SW,Switch 2
PoE,FOC2630Y27M,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,NewDH-SW,NewDH-SW,Switch 1
Non PoE,FOC2631YAK0,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,RCC-Dist-SW,RCC-Dist-SW,Switch 1
Non PoE,FOC2631YCVC,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,RCC-Dist-SW,RCC-Dist-SW,Switch 2
PoE,FOC2630Y27P,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,RCC-R1-1F,RCC-R1-1F,Switch 1
Non PoE,FOC2651Y40N,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R1-2F,RCC-R1-2F,Switch 1
PoE,FOC2630Y0WL,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R1-2F,RCC-R1-2F,Switch 2
PoE,FOC2630Y2L9,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,RCC-R1-3F,RCC-R1-3F,Switch 1
PoE,FOC2630Y377,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,RCC-R1-4F,RCC-R1-4F,Switch 1
Non PoE,FOC2651Y3HM,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R1-GF,RCC-R1-GF,Switch 1
PoE,FOC2630Y21U,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R1-GF,RCC-R1-GF,Switch 2
Non PoE,FOC2651Y41N,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R2-2F,RCC-R2-2F,Switch 1
PoE,FOC2630Y255,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R2-2F,RCC-R2-2F,Switch 2
PoE,FOC2630Y2KM,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,RCC-R2-3F,RCC-R2-3F,Switch 1
Non PoE,FOC2651Y3ZW,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R2-4F,RCC-R2-4F,Switch 1
PoE,FOC2630Y2E4,C9300L-24P-4X,2023-MAR-24,2026-MAR-24,Cisco,RCC-R2-4F,RCC-R2-4F,Switch 2
